Fecha,Ingresos/Gastos,Categoría,Memorándum,Importe
2026-05-19,Gastos,Transporte,Uber iyv Quilmes amex g,-5600
2026-05-19,Gastos,Transporte,SUBE,-5000
2026-05-18,Gastos,Deporte,Futbol partido ganado,-5000
2026-05-18,Gastos,Deporte,Futbol partido perdido,-4500
2026-05-18,Gastos,Merienda,Parlamento cafe y medialunas,-7000
2026-05-18,Gastos,Supermercado,Transferencia,-20000
2026-05-18,Gastos,Ana,Transferencia,-50000
2026-05-18,Gastos,Ana,Alimento perros amex g,-29000
2026-05-17,Gastos,Ana,Transferencia,-6000
2026-05-16,Gastos,Cena,Sanguche focaccia generala,-10000
2026-05-16,Gastos,Bebida,Fernet generala visa g,-8000
2026-05-16,Gastos,Supermercado,"Papel hig, te, papel coc",-9000
2026-05-16,Gastos,Comida,Panadería amex g,-10800
2026-05-15,Gastos,Transporte,Uber viernes x2 visa g,-13000
2026-05-15,Gastos,Transporte,Uber estación visa g,-3000
2026-05-14,Gastos,Deporte,Futbol ganado partido,-6000
2026-05-14,Gastos,Transporte,Uber ida y vuelta ducilo visa g,-6700
2026-05-13,Gastos,Servicios,Personal visa g,-59000
2026-05-13,Gastos,Almuerzo,Milanesas con pure,-30000
2026-05-12,Gastos,Transporte,Uber Ducilo visa g ida y vuelta,-7000
2026-05-12,Gastos,Bajonazo,Baston mooza valu,-5000
2026-05-12,Gastos,Bebida,Birras con Valu,-10000
2026-05-11,Gastos,Salud,Shampoo caspa,-8000
2026-05-11,Gastos,Almuerzo,Sushi x30 oficina py visa g,-13500
2026-05-11,Gastos,Transporte,Uber ida y vuelta futbol visa g,-4000
2026-05-11,Gastos,Deporte,Futbol partido perdido,-5000
2026-05-10,Gastos,Ropa,Buzo Adidas,-35000
2026-05-10,Gastos,Ropa,Cuello + guantes,-10000
2026-05-10,Gastos,Ropa,Campera negra,-59000
2026-05-10,Gastos,Cena,Coca + delivery,-15000
2026-05-10,Gastos,Ropa,Medias futbol,-4000
2026-05-09,Gastos,Bebida,Cerveza visa g,-4000
2026-05-09,Gastos,Deporte,Futbol partido perdido,-5000
2026-05-09,Gastos,Casa,Portalamparad x4 indoor amex g 6cuotas,-17000
2026-05-09,Gastos,Servicios,Primevideo,-8000
2026-05-09,Gastos,Ana,Transferencia,-50000
2026-05-09,Gastos,Droga,Indoor,-47700
2026-05-09,Gastos,Desayuno,Pan y facturas visa g,-5050
2026-05-09,Gastos,Ropa,Lavadero,-20000
2026-05-09,Gastos,Transporte,Didi lavadero,-7600
2026-05-08,Gastos,Cena,Pizza py visa g,-13300
2026-05-08,Gastos,Transporte,Uber unq visa g,-5700
2026-05-08,Gastos,Servicios,Pedidosya plus visa g,-6000
2026-05-07,Gastos,Droga,Macetas y tierra visa g,-36200
2026-05-07,Gastos,Transporte,Uber lavadero visa g,-10000
2026-05-06,Gastos,Transporte,Uber visa g solano,-4500
2026-05-06,Gastos,Servicios,Uber one visa g,-8000
2026-05-06,Gastos,Hamburguesa,Mc alvarez amex g,-17000
2026-05-06,Gastos,Transporte,Uber solano visa g,-4900
2026-05-06,Gastos,Servicios,Spotify amex g,-5000
2026-05-06,Gastos,Seguros,Segurobici amex g,-12300
2026-05-05,Gastos,Transporte,Uber ida y vuelta antividad visa g,-7000
2026-05-05,Gastos,Almuerzo,Mila napo oficina,-10000
2026-05-05,Gastos,Transporte,SUBE,-5000
2026-05-04,Gastos,Transporte,Uber partido visa g,-4500
2026-05-04,Gastos,Deporte,Futbol partido ganado,-5000
2026-05-04,Gastos,Deporte,Futbol partido ganado,-4500
2026-05-04,Gastos,Ana,Ropa feria,-56000
2026-05-04,Gastos,Ropa,Ropa feria,-30000
2026-05-04,Gastos,Transporte,Uber de villa Mitre,-5400
2026-05-04,Gastos,Transporte,Uber villa mitre,-5000
2026-05-03,Gastos,Ana,Efectivo,-2500
2026-05-03,Gastos,Droga,Papelillo y coca,-5000
2026-05-03,Gastos,Hamburguesa,Hamburguesa con lauti y coca,-13100
2026-05-02,Gastos,Bebida,Coca cola,-4000
2026-05-02,Gastos,Bebida,Coca cola,-2500
2026-05-02,Gastos,Merienda,Budin,-4000
2026-05-02,Gastos,Servicios,Mercadolibre plus visa s,-9000
2026-05-02,Gastos,Servicios,Tuenti,-16500
2026-05-01,Gastos,Hamburguesa,Betoburger visa s,-18800
2026-05-01,Gastos,Transporte,Blend uber visa g,-16000
2026-05-01,Ingresos,Salario,Sueldo SCES,2161000
